iter	MultiClass
0	-1.600464071
1	-1.592457472
2	-1.584674651
3	-1.576441362
4	-1.568278376
5	-1.561567162
6	-1.554221508
7	-1.54748268
8	-1.540651375
9	-1.534860555
10	-1.529036473
11	-1.523707492
12	-1.518551432
13	-1.513749698
14	-1.509618683
15	-1.504167915
16	-1.498850402
17	-1.494729757
18	-1.489862833
19	-1.485498575
20	-1.48080624
21	-1.477050976
22	-1.473489144
23	-1.46999801
24	-1.46641284
25	-1.462595239
26	-1.458997209
27	-1.455752781
28	-1.45235543
29	-1.449432253
30	-1.446313296
31	-1.442976468
32	-1.440110268
33	-1.43725849
34	-1.434286896
35	-1.431759081
36	-1.429263366
37	-1.42679113
38	-1.424669377
39	-1.422278437
40	-1.420055601
41	-1.418348443
42	-1.416185133
43	-1.414373961
44	-1.412812476
45	-1.41099283
46	-1.409139878
47	-1.407240727
48	-1.406048841
49	-1.404458201
50	-1.403186128
51	-1.402071768
52	-1.400621387
53	-1.399253392
54	-1.397883784
55	-1.396424696
56	-1.395264919
57	-1.39417105
58	-1.392824665
59	-1.392205426
60	-1.391543167
61	-1.39043175
62	-1.389164021
63	-1.388392878
64	-1.387417636
65	-1.386586742
66	-1.384820263
67	-1.384070339
68	-1.383443614
69	-1.38280018
70	-1.382247096
71	-1.381100034
72	-1.379793602
73	-1.378870384
74	-1.377739467
75	-1.376802883
76	-1.376217429
77	-1.375797715
78	-1.375254835
79	-1.374571935
80	-1.373977047
81	-1.37316721
82	-1.372716882
83	-1.372237692
84	-1.371966699
85	-1.371493869
86	-1.370905667
87	-1.370439421
88	-1.369961425
89	-1.36950042
90	-1.368916477
91	-1.368634079
92	-1.368037568
93	-1.367327053
94	-1.367006714
95	-1.366638454
96	-1.36643451
97	-1.366226275
98	-1.365941947
99	-1.365446513
