iter	Passed	Remaining
0	74	7401
1	138	6792
2	199	6437
3	270	6480
4	343	6520
5	388	6082
6	457	6074
7	525	6042
8	598	6053
9	668	6016
10	737	5968
11	817	5994
12	900	6026
13	957	5882
14	1012	5737
15	1082	5684
16	1155	5643
17	1197	5454
18	1270	5417
19	1339	5359
20	1408	5300
21	1454	5158
22	1524	5102
23	1597	5059
24	1677	5033
25	1756	4999
26	1829	4945
27	1900	4885
28	1973	4832
29	2050	4785
30	2129	4739
31	2203	4681
32	2255	4580
33	2325	4514
34	2402	4460
35	2459	4372
36	2546	4335
37	2621	4277
38	2692	4211
39	2785	4177
40	2860	4115
41	2909	4018
42	2987	3960
43	3065	3901
44	3118	3811
45	3194	3749
46	3276	3695
47	3355	3634
48	3401	3540
49	3477	3477
50	3533	3395
51	3617	3338
52	3696	3277
53	3777	3217
54	3854	3153
55	3929	3087
56	4002	3019
57	4059	2939
58	4139	2876
59	4181	2787
60	4222	2699
61	4302	2636
62	4376	2570
63	4438	2496
64	4518	2433
65	4597	2368
66	4673	2301
67	4752	2236
68	4801	2156
69	4858	2082
70	4915	2007
71	4982	1937
72	5057	1870
73	5135	1804
74	5215	1738
75	5293	1671
76	5374	1605
77	5414	1527
78	5470	1454
79	5534	1383
80	5614	1317
81	5693	1249
82	5748	1177
83	5802	1105
84	5844	1031
85	5903	961
86	5984	894
87	6042	823
88	6087	752
89	6167	685
90	6232	616
91	6279	546
92	6357	478
93	6432	410
94	6489	341
95	6535	272
96	6579	203
97	6629	135
98	6698	67
99	6773	0
